address,lon,lat
"5 SIRIUS WHARF, LYNCHS QUAY, COBH",0,0
"5 The Elms, Castlejane Woods, Glanmire",0,0
"52 MARIAN CRESCENT, BALLINA, MAYO",54.1177554,-9.157842
"57 TUDOR VALE, ORANMORE, GALWAY",53.275679499999995,-8.927728250000001
"59 AGLISH EST, CURRAGH, CASTLEBAR",53.8483229,-9.299655686158012
"5A CHESTNUT GROVE, MALLOW, CO CORK",52.1365052,-8.6375624
"6 St Ibars Villas, Wexford",52.3853468,-6.4530438632661955
"63 SANDYFORD DOWNS, SANDYFORD, DUBLIN",53.26743485,-6.2253466500000005
"69 Crosforge, Saggart, Co Dublin",0,0
"71 SUMMERHILL NORTH, CORK, CORK",51.902749,-8.4610677
"71 VERDEMONT, BLANCHARDSTOWN, DUBLIN 15",53.38798995,-6.39303142071038
"79 PARK ROAD, NAVAN ROAD, DUBLIN 7",0,0
"8 ARCHERSWOOD, BLANCHARDSTOWN, DUBLIN 15",53.4046293,-6.4085611
"8 MARLFIELD TERRACE, KILTIPPER WAY, TALLAGHT DUBLIN 24",53.2706706,-6.3703603
"8 SEAFORT VILLAS, SANDYMOUNT, DUBLIN 4",53.3325849,-6.214432
"9 THOMAS ST, CASTLEBLAYNEY, MONAGHAN",54.1187473,-6.7356282
"91 NORTHWAY ESTATE, FINGLAS DUBLIN 11, DUBLIN",53.3996642,-6.3097296
"APARTMENT 51 HILL OF DOWN HOUSE, SPENCER DOCK, NORTH WALL QUAY",0,0
"APARTMENT 88 HILL OF DOWN HOUSE, SPENCER DOCK, NORTH WALL QUAY",0,0
"APT 1 HALVEYS, BRIDGE ST, HEADFORD",0,0
"APT 2, 76 DAME ST, DUBLIN 2",0,0
"APT 33 MOUNTGORRY WOOD, MALAHIDE, CO DUBLIN",0,0
"APT 7, LEADER HALL, BOOTERSTOWN AVE",0,0
"APT 98, BLACKHALL SQ, NORTH KING ST DUBLIN 7",0,0
"BALLINASRAGH, LUSMAGH, BANAGHER",0,0
"BALLYSHONOCK, KILDORRERY, MALLOW",0,0
"Cloncullen, Ballymahon",0,0
"crannagh, gort",0,0
"GLENCASTLE HOUSE, KILSHEELAN, TIPPERARY",0,0
"GLORE VIEW, SLIEVEBOY, CASTLEPOLLARD",0,0
"Heathfield, Cappagh, Finglas",53.390645,-6.3189344
"KEELOGUES OLD, BALLYVARY, CASTLEBAR",0,0
"KILCOE, BALLINGLANNA, GLANMIRE",0,0
"Lacknacummeen, Belgooly",0,0
"LAHERN, KILLORGLIN, CO KERRY",0,0
"LATHIVEMORE, BALLYFERRITER, TRALEE",0,0
"Lisheenageeha, Headford",0,0
"NEIDIN, SEAPOINT ROAD, BRAY",0,0
"NEWTOWN, CLAREMORRIS, CO MAYO",53.7197301,-8.9987858
"ROSE COTTAGE, ATHGARVAN, NEWBRIDGE",53.153403,-6.7772469
"ROXBOROUGH GLEBE, KILCAR, DONEGAL",54.64818575,-8.632303097895242
"SMITHFIELD, LEGAN, CO. LONGFORD",0,0
"SUNVIEW, CHURCH HILL, PASSAGE WEST",0,0
"THE BUNGALOW, BANAGHER ROAD, PILTOWN",52.3510107,-7.327592772228014
"THE COTTAGE, BALLINCUR, KINNITTY",53.0970808,-7.729925112806294
"TULLAMINE COTTAGE, FETHARD, CO TIPPERARY",0,0
"VILLA 12, CARLTATON VILLAGE, YOUGHAL",0,0
"WATEROCK, MIDLETON, CO CORK",0,0
"WEST WINDS COTTAGE, CROOKE ROAD, PASSAGE EAST",0,0
"'Avalon', Balliniry, Ramsgrange",0,0
"1 Belmont Drive, Belmont  Aitkens Village, Stepaside",0,0
"1 FIREHOUSE LANE, KILDARE, KILDARE",0,0
"1 STATION RD, BELASS, FOXFORD",0,0
"1 TIVOLI HEIGHTS, CLONMEL, TIPPERARY",52.3611832,-7.6835772
"1 WEAVERS WALK, CLONSILLA, DUBLIN 15",53.3830774,-6.4193743
"1 WOLFE TONE TERRACE, ROXBORO RD, LIMERICK",0,0
"10 OWENTARGLEN, RIVERVALLEY, MALLOW",0,0
"108 HAZELBURY PARK, NAVAN RD, DUBLIN 15",0,0
"109 FFORSTER LAWNS, BALLYDOWD MANOR, LUCAN",0,0
"109 ST JAMES WOOD, SOUTH CIRCULAR RD, DUBLIN",0,0
"11 BALLINTRANE WOOD, FOREST RD, SWORDS",53.452898649999995,-6.228610183811841
"11 CAPTAIN'S AVENUE, CRUMLIN, DUBLIN 12",53.31775055,-6.309054803414642
"11 GLENOIR EST, ST SENANS RD, ENNIS",0,0
"113 DECIES RD, BALLYFERMOT, DUBLIN 10",0,0
"116 BROOKFIELD, CASTLETROY, LIMERICK",52.659604,-8.57444081925293
"116 DECIES RD, BALLYFERMOT, DUBLIN 10",0,0
"12 CLOONDARA, OAKPARK, TRALEE",0,0
"12 GOWRIE PARK, GLENAGEARY, DUBLIN",53.2808452,-6.141499600000002
"13 BROADFIELD DRIVE, BROADFIELD MANOR, RATHCOOLE",0,0
"13 Whitethorn, Athgarvan, Co. Kildare",0,0
"135 NORTH CIRCULAR RD, DUBLIN 7, DUBLIN CITY",53.3564788,-6.291837238592338
"14 Ballytore Road, Rathfarnham, Dublin 14",53.3025871,-6.2780802
"14 WOODVILLE, LEITRIM VILLAGE, LEITRIM",54.4368892,-8.3940268
"15 LIMEKILN RD, DUBLIN 12, DUBLIN",53.3048624,-6.3237428499999995
"15 MAYVIEW PARK, OULART, CO WEXFORD",52.50656655,-6.390111173051295
"15 St. Bridget's Terrace, The Gables, Portumna",0,0
"15 WOODSIDE, RIVERCHAPEL, COURTOWN HARBOUR",0,0
"152 TRADAREE COURT, SHANNON, CLARE",0,0
"16 Broadfield Lawn, Rathcoole",0,0
